point,Total Privacy Cost
293,3.2080002285855835e-05
818,5.5864462505939017e-05
522,5.850353344896697e-05
152,7.016457137173915e-05
678,8.29317238382199e-05
206,0.00014285318390702513
816,0.000145048048865587
115,0.00018645650730893707
707,0.00019724939822121645
192,0.00019945705130025517
310,0.0001995829595778284
787,0.00020687162861491337
40,0.00021103985142553294
288,0.00022550884281803858
435,0.00023998789302683802
676,0.0002507904342696629
90,0.0002580227651850786
269,0.00025952889491217103
217,0.0002765191499588815
880,0.00027858848918383815
604,0.0002897400307739764
359,0.0003192071656061425
39,0.00032258830607995924
326,0.00032551666469179583
355,0.0003276128435598721
972,0.0003349905986916438
524,0.0003402157533942622
920,0.00034638244508907915
994,0.0003484661912772088
290,0.00035774659731459534
397,0.0003805485503902225
904,0.0003853304847012583
77,0.00038767260160801263
573,0.0003909952868037211
773,0.00039169734060633967
639,0.00039997445202747853
99,0.0004005731012452429
214,0.00042009142094328033
831,0.0004299475144595628
123,0.0004514600061975797
50,0.00045464220695048214
245,0.0004615186830889886
640,0.00046824269589180713
562,0.0004976469020429898
309,0.0005003862881796647
445,0.0005221629153187333
122,0.0005333281229832651
738,0.0005680503429075724
408,0.0005681968473849022
230,0.0005698060020569806
270,0.0005859419242677565
710,0.000594076802307804
208,0.0006360913773206509
711,0.0006558550970564543
473,0.0006917049347173608
553,0.0007129761296666116
959,0.0007154327803618091
401,0.0007227518306713682
698,0.0007477581762969553
819,0.0007536644720743797
838,0.000778292969159842
378,0.0007808286835295828
885,0.0007917771095515959
642,0.000813552029181492
102,0.0008195174080660937
969,0.0008276227388413639
231,0.0008734701375377538
766,0.0008737353098342675
484,0.0008738453336306733
454,0.0009047208430982966
67,0.0009049126968502017
860,0.0009104519677983089
505,0.0009140850533744416
820,0.0009158920837685131
238,0.0009176270210747871
458,0.0009205810308490008
422,0.0009268015232140531
17,0.0009279686800475722
925,0.0009385149642437326
798,0.0009536729545441556
387,0.0009617733978166319
382,0.0009754167764058552
421,0.0009767542876700677
567,0.0009849262567965004
685,0.0010103513605190467
184,0.0010143956479800847
460,0.0010407117200952967
14,0.00104795783169359
52,0.0010746984877642671
320,0.001082006300263167
299,0.0010853654181283462
877,0.0010890377140768846
349,0.0010969550188635838
171,0.0011045397568201249
809,0.0011106735297908264
630,0.001114662568102973
174,0.0011212494288162153
429,0.0011296615821400206
72,0.0011418056389689625
303,0.0011634164634863901
758,0.0011667977638698628
648,0.001166990657420961
455,0.001167335083502406
908,0.0011775272099763903
308,0.0011849029898569625
12,0.001208149406398629
465,0.0012249362682617186
868,0.001236847913544369
727,0.0012456215374530724
675,0.001255253194962168
814,0.0012623252887288853
88,0.0012758501834144315
971,0.0012891978347797874
888,0.0012957495583621836
156,0.0012973759656523854
875,0.0013007316777917282
85,0.001302677463630488
666,0.0013079638857741215
222,0.0013298584832092935
761,0.0013370727818990036
961,0.0013383886070228819
883,0.001339786563142583
330,0.0013631418788862355
373,0.0013865470579623245
