point,step,Privacy cost
0,0,4.086175835193995e-05
0,200,0.0008324924501569575
0,500,7.163020177003432e-12
0,700,0.0008324946335229455
0,900,0.0008324944350879271
0,1200,0.0008324916562232887
0,1400,0.0008324911600389451
0,1600,0.0008324964200188967
0,1900,0.0008324922515283439
0,2100,3.840259866355611e-05
0,2300,0.0008324916562232887
0,2600,0.0008324914577882703
0,2800,0.0008324970153239519
0,3000,0.0008324936411542583
0,3300,6.96942503708442e-12
0,3500,0.0008324911600389451
0,3700,0.0008324905645402947
0,4000,1.6355691800917782e-08
0,4200,0.001040617004834793
0,4400,0.0010406160122725108
0,4600,0.001040615516281762
0,4900,0.0010406145237194797
0,5100,0.0010406119185096818
0,5300,5.782202415621773e-05
0,5600,0.0010406167566458238
0,5800,0.0010406134072563078
0,6000,1.0066947275788607e-11
0,6300,0.001040615516281762
0,6500,0.0010406146480075598
0,6700,0.0010406160122725108
0,7000,0.0010406150200974182
0,7200,1.405636232409968e-08
0,7400,0.0012718657733813699
0,7700,0.0012718627409070982
0,7900,0.0012718609214999732
0,8100,0.0012718633474406715
0,8400,0.0012718612248635575
0,8600,0.0012718627409070982
0,8800,0.0012718618312035357
0,9100,0.0012718657733813699
0,9300,0.0012718625893221036
1,0,3.7161772684091154e-05
1,200,0.0004513260313913914
1,500,0.0008324891751079755
1,700,0.0008324924501569575
1,900,0.0008324920532869207
1,1200,6.96942503708442e-12
1,1400,0.0008324922515283439
1,1600,6.96942503708442e-12
1,1900,6.96942503708442e-12
1,2100,6.96942503708442e-12
1,2300,6.96942503708442e-12
1,2600,6.96942503708442e-12
1,2800,6.96942503708442e-12
1,3000,6.96942503708442e-12
1,3300,6.96942503708442e-12
1,3500,6.96942503708442e-12
1,3700,0.0008324916562232887
1,4000,9.098971576193549e-12
1,4200,9.098971576193549e-12
1,4400,9.098971576193549e-12
1,4600,0.0010406136554452772
1,4900,9.098971576193549e-12
1,5100,9.098971576193549e-12
1,5300,9.098971576193549e-12
1,5600,9.098971576193549e-12
1,5800,1.2196493814897735e-11
1,6000,9.098971576193549e-12
1,6300,9.098971576193549e-12
1,6500,9.098971576193549e-12
1,6700,9.098971576193549e-12
1,7000,9.098971576193549e-12
1,7200,7.163020177003432e-12
1,7400,7.163020177003432e-12
1,7700,7.163020177003432e-12
1,7900,7.163020177003432e-12
1,8100,7.163020177003432e-12
1,8400,7.163020177003432e-12
1,8600,1.8702258491876123e-08
