point,Total Privacy Cost
293,3.2080002287049325e-05
818,5.5864462508381514e-05
522,5.850353345060455e-05
152,7.016457137343224e-05
678,8.293172383977421e-05
206,0.00014285318390827413
816,0.000145048048866947
115,0.0001864565073085983
707,0.0001972493982211887
192,0.00019945705130278092
310,0.0001995829595799101
787,0.00020687162861715054
40,0.00021103985142764808
288,0.000225508842820148
435,0.00023998789302923603
676,0.00025079043427162254
90,0.0002580227651853839
269,0.00025952889491428046
217,0.00027651914995940885
880,0.00027858848918598634
604,0.00028974003077571393
359,0.00031920716560882376
39,0.0003225883060803425
326,0.0003255166646937554
355,0.000327612843560688
972,0.0003349905986932704
524,0.0003402157533960165
920,0.0003463824450892065
994,0.0003484661912795068
290,0.0003577465973174321
397,0.0003805485503914213
904,0.00038533048470312895
77,0.0003876726016102331
573,0.0003909952868061301
773,0.00039169734060832707
639,0.00039997445202989896
99,0.0004005731012463311
214,0.0004200914209450955
831,0.0004299475144606175
123,0.00045146000619839563
50,0.0004546422069519197
245,0.00046151868309067073
640,0.00046824269589362756
562,0.0004976469020444666
309,0.0005003862881814966
445,0.0005221629153195492
122,0.0005333281229860018
738,0.0005680503429078442
408,0.0005681968473870839
230,0.0005698060020588066
270,0.0005859419242696883
710,0.0005940768023101632
208,0.0006360913773221664
711,0.000655855097058036
473,0.0006917049347204861
553,0.0007129761296682492
959,0.0007154327803634467
401,0.000722751830672284
698,0.0007477581762990479
819,0.0007536644720760006
838,0.0007782929691612685
378,0.0007808286835308486
885,0.0007917771095530836
642,0.0008135520291830794
102,0.0008195174080685583
969,0.0008276227388440954
231,0.0008734701375393857
766,0.0008737353098354446
484,0.0008738453336318778
454,0.0009047208430998787
67,0.0009049126968529107
860,0.0009104519678001741
505,0.0009140850533761682
820,0.0009158920837708
238,0.0009176270210756699
458,0.000920581030850494
422,0.0009268015232158958
17,0.0009279686800492543
925,0.0009385149642437713
798,0.0009536729545462096
387,0.0009617733978184418
382,0.0009754167764061939
421,0.0009767542876709058
567,0.0009849262567972275
685,0.0010103513605201513
184,0.001014395647981467
460,0.0010407117200961628
14,0.0010479578316953606
52,0.0010746984877665652
320,0.0010820063002649936
299,0.0010853654181288014
877,0.0010890377140787997
349,0.001096955018865621
171,0.0011045397568215571
809,0.0011106735297928415
630,0.0011146625681049108
174,0.00112124942881883
429,0.001129661582142491
72,0.0011418056389719549
303,0.0011634164634885162
758,0.001166797763870751
648,0.0011669906574226817
455,0.0011673350835055257
908,0.0011775272099780114
308,0.0011849029898581946
12,0.0012081494064006052
465,0.0012249362682637448
868,0.001236847913546373
727,0.001245621537455143
675,0.0012552531949635228
814,0.0012623252887309618
88,0.001275850183416202
971,0.0012891978347810975
888,0.001295749558364021
156,0.0012973759656546892
875,0.001300731677792883
85,0.0013026774636312704
666,0.0013079638857760477
222,0.001329858483211142
761,0.0013370727819006856
961,0.0013383886070247027
883,0.0013397865631440708
330,0.0013631418788875068
373,0.0013865470579636564
577,0.0013980012205070036
241,0.0013991963129262783
377,0.0014147194739954879
251,0.0014250238006624418
793,0.0014397244760696527
283,0.001443068228483354
952,0.001477153484194959
367,0.0014772455230030995
617,0.001484556187739761
669,0.0014928758184609519
27,0.0014952922402805984
919,0.0014998993041663356
443,0.001512492596388363
243,0.0015282045785406655
655,0.0015288117165168846
205,0.0015303530325490432
747,0.0015373329394068904
982,0.0015447717341177726
362,0.0015454784872484535
107,0.001550873772587038
128,0.0015554463720855115
261,0.0015574807838429324
835,0.001558869394158939
73,0.001566577908522207
415,0.001577841213941164
114,0.0015806580503315393
201,0.0015840770549171892
410,0.0015922216380758363
914,0.0015932153510854927
612,0.0015994928767731388
469,0.001611217015870513
398,0.0016130122632897063
315,0.0016167852006402862
765,0.0016240592760879801
18,0.001627902931613757
57,0.0016295341491610385
101,0.0016400776649463829
347,0.001647332143533134
556,0.0016574658753238884
103,0.001661262792532002
529,0.0016672669692345
15,0.0016772219451481503
774,0.0016970981624384184
777,0.0016974806942399133
618,0.001704821925131452
285,0.0017130119305484328
519,0.001715789347095296
559,0.0017303736625315595
791,0.0017401487155737938
963,0.0017411854922756576
329,0.0017520565522606666
891,0.001757003037213923
812,0.0017644690512080834
263,0.0017749631214387244
724,0.0017760558951487517
609,0.00178702747340585
166,0.0017910739339721308
372,0.0017938757074977064
580,0.001794157347965735
490,0.001807795983087188
237,0.0018315127343746119
534,0.0018407821809921052
521,0.0018446596815930019
978,0.001845324199428419
585,0.0018590796605048882
526,0.0018643817168116413
936,0.0018645553035054694
637,0.0018700656110720785
839,0.001887299977587049
402,0.0018903057128859555
962,0.0019004335830040773
783,0.0019118090589957466
593,0.0019295488253698878
824,0.0019391065291485606
941,0.0019526398541279072
21,0.001956183640849736
170,0.0019565003605607695
193,0.0019711224369229115
564,0.001982148990004488
725,0.002009831625046981
636,0.0020178020813784317
598,0.002027107865610524
689,0.002032515556911753
575,0.0020390872124672202
213,0.0020442528653176087
492,0.002051636766902657
975,0.0020632130628109014
296,0.0020655827875468782
671,0.0020719711449032037
165,0.002072603303115745
339,0.0020935350615099743
209,0.00211361583607309
301,0.0021137597854815086
733,0.0021177589554011614
800,0.002121640699995312
411,0.002151296056153161
78,0.002165600683724153
108,0.0021684098369024085
890,0.002184351667208289
83,0.0021876147444610423
762,0.002188545695669553
683,0.0021904980920093523
162,0.0021923771922590725
672,0.002201621643419556
590,0.0022022810294337874
853,0.0022060779185683423
856,0.0022118390578714196
177,0.0022142872443951544
645,0.0022309633973256393
538,0.002231807063652819
164,0.0022397978583160805
227,0.0022398913018493584
331,0.002245297037259352
307,0.002251018054356282
51,0.002263705112255278
357,0.0022641500382206206
126,0.002313665612385075
32,0.0023198124820679906
416,0.0023206917995185197
990,0.002328984840140724
938,0.0023428180012080094
366,0.002345927094239913
337,0.0023495644751115037
112,0.0023620674933385612
413,0.0023672787074483803
709,0.0023707730308039267
215,0.002376701664363978
584,0.002391529089994858
599,0.0023960517491105606
703,0.002401324417674447
66,0.002403774893071948
510,0.0024173181403834517
298,0.002421209180255714
927,0.0024256289722075844
23,0.002426162596882718
552,0.0024281487757648822
20,0.0024289045448636225
252,0.0024289087003827752
439,0.00243458096828707
621,0.0024425262071102725
323,0.0024475539280700157
211,0.0024557836777948433
983,0.002462593970528935
319,0.0024736168422077064
911,0.0024835848844374318
802,0.0024872932028271173
277,0.0024898969918319214
817,0.002497560076192815
482,0.002500231199132854
358,0.002505883649866046
764,0.002516202261336678
638,0.002526935295730362
755,0.002527850365167975
104,0.002536725538440769
186,0.0025388077573572795
210,0.0025397576377186983
59,0.0025497863178174165
691,0.0025563117364655608
821,0.0025643377615728984
100,0.002569382827688248
375,0.0025769293722264623
130,0.0025886456955015085
276,0.0025900782137749725
399,0.0025921240842350785
450,0.002599448025726071
106,0.0026076051861795217
197,0.0026095846451816116
264,0.0026347400226691573
183,0.0026432207245481922
743,0.002643912922615967
426,0.0026465138102088
742,0.00264846600481878
823,0.0026492411645987653
395,0.0026551684367993175
833,0.0026669384248399755
345,0.002674643285676702
457,0.0026802610791989883
350,0.0026833718493479647
953,0.0026859089897359645
744,0.0026977979536086795
55,0.002703334431945891
732,0.0027136874415972486
734,0.002716680321594812
803,0.002723431347891041
334,0.002723696497923467
225,0.002725365476204529
613,0.002728737730853784
822,0.00273662747950183
862,0.0027425282920854454
477,0.0027442932823270256
84,0.002747341552607204
453,0.002751790286645717
830,0.002753648503787501
944,0.002754584985817689
789,0.0027551608713432835
146,0.0027566803149936263
143,0.0027639128791917787
438,0.0027717089583810454
901,0.00277551261753809
179,0.0027755370873824518
361,0.0027784453095824487
449,0.002779680119979721
572,0.002785153263088955
369,0.002791841658837799
881,0.0027979450309813182
223,0.0027981348839293705
834,0.002806539473296301
118,0.0028135445968915525
351,0.0028175141248792317
45,0.002822289332144786
632,0.002836712569456957
681,0.0028378394021647746
928,0.002838000913557683
190,0.0028660362882349097
159,0.002866408413132795
10,0.0028835383753411867
474,0.002884625176444866
984,0.00289109520326502
654,0.002899782416564511
105,0.0029075381251651255
949,0.0029369051600813822
520,0.002943510324633484
79,0.0029494797113221558
36,0.002950575650700866
769,0.0029558948893503505
591,0.002993547598400824
753,0.002994594196959545
311,0.0030211625107667904
448,0.003026833181121405
897,0.003034887419430048
780,0.0030454046779067765
507,0.0030457361033014575
596,0.003048566702562917
341,0.0030486613274117776
475,0.0030510921077967915
498,0.0030549676596697004
409,0.0030712529751836222
926,0.0030801462221113187
56,0.003095617240265949
536,0.0031013928511918277
651,0.0031087407030369087
253,0.00311847973518652
229,0.0031218556909894156
763,0.0031375817995862895
662,0.003138687994665306
302,0.0031395569344482162
741,0.0031410996329418175
200,0.003152768021865812
634,0.0031790585591681586
687,0.0031900874148723616
149,0.0031956152898445105
545,0.003208309277091998
987,0.003219180919215846
940,0.0032270772104105575
432,0.0032282650279127083
233,0.0032325214580895606
986,0.0032337888666186428
907,0.003239489409285036
364,0.003243399856487417
286,0.003249156400230933
234,0.003252116330339464
419,0.0032868539095215537
185,0.0032891891330868207
272,0.0033085963913180574
806,0.0033089460127164938
196,0.0033197264868253364
589,0.003320880289077721
605,0.0033213045061711854
688,0.0033281604608366724
343,0.0033438982962664893
786,0.0033445796555231022
981,0.0033473629196101593
163,0.003349080712131907
566,0.0033513997205550186
431,0.003366204208840959
42,0.003371573158268054
13,0.003384043313333621
275,0.0033952800675672865
242,0.0033975165508350284
124,0.00340141286888454
147,0.0034057270192581566
368,0.003418486643389704
400,0.0034205171516888625
874,0.0034209791560366977
594,0.003423689344346999
750,0.0034295356211801803
543,0.0034337162472423202
430,0.003442763617196891
852,0.0034441526938817253
781,0.003451589612463184
700,0.003453125354888197
668,0.0034679400938439826
371,0.003476705062112906
393,0.0034885043633617924
274,0.0035151032169938967
673,0.003529054722190298
784,0.00354007570321825
684,0.0035414309524440277
257,0.0035518494473898827
365,0.0035580008607494352
96,0.0035625541588141215
441,0.003562708466722822
8,0.0035636475388166207
951,0.0035668863325092146
489,0.00361439353288368
89,0.0036211972495781048
188,0.0036313493111494064
934,0.0036340630060511304
43,0.003643153061795266
756,0.0036450175926590906
794,0.003648733784561413
910,0.003659213325865836
771,0.003659341011347188
325,0.0036632930977668933
993,0.0036650997798835902
332,0.003666304024511864
95,0.0036695601381473804
485,0.003671530151449577
249,0.003681438609548021
265,0.003687269744142383
82,0.003692070381098545
737,0.0037064072263840266
314,0.0037081576416221444
