step,point,distance (sum)
0,2,0.0008245466999999999
200,2,0.0039062481373548
500,2,0.0039062476716935
700,2,0.0039062518626451
900,2,0.0035622050054371
1200,2,1.8374461433268152e-05
1400,2,0.0039062611758708
1600,2,0.003906256519258
1900,2,0.0039062476716935
2100,2,0.00390625
2300,2,4.054020337207476e-06
2600,2,4.5850523378021535e-10
2800,2,6.296014146613479e-20
3000,2,7.904443701141348e-16
3300,2,0.0039062488358466998
3500,2,3.4486445003954064e-14
3700,2,0.0
4000,2,1.0778705185343627e-11
4200,2,3.066172156602308e-19
4400,2,1.2046505557012818e-22
4600,2,0.0039062490686774
4900,2,1.0588848659118416e-14
5100,2,0.0039062465075403
5300,2,2.3336794981344122e-17
5600,2,0.0039062486030161
5800,2,5.0691363867372274e-05
6000,2,0.0039062481373548
6300,2,0.0039062504656612
6500,2,1.826658262871205e-05
6700,2,4.499056292447956e-13
7000,2,0.00390625
7200,2,0.0039062537252902
7400,2,0.0039062493015080005
7700,2,4.610853032716022e-09
7900,2,0.00390625
8100,2,0.0039062497671693
8400,2,0.0039062462747097002
8600,2,5.7686893484287793e-08
8800,2,0.00390625
9100,2,0.0039062486030161
9300,2,8.831778472995211e-07
