step,point,distance (sum)
0,8,0.0007262565
200,8,0.001535760005936
500,8,9.694845175545197e-07
700,8,6.479934455683178e-08
900,8,0.0009324745042249
1200,8,1.9375430079793248e-11
1400,8,3.6855885010567135e-10
1600,8,4.049070936015242e-17
1900,8,0.0003493948897812
2100,8,1.0842161657365071e-07
2300,8,0.0039062474388629
2600,8,0.0039062469732016
2800,8,1.4760402915117016e-14
3000,8,8.519846171606543e-15
3300,8,4.087399702257244e-06
3500,8,0.0039062451105564
3700,8,0.0039062481373548
4000,8,6.026644183698693e-10
4200,8,1.9280183551018126e-05
4400,8,7.877499683672795e-07
4600,8,8.575629650842129e-10
4900,8,0.0039062453433871
5100,8,8.959562860898077e-20
5300,8,2.0472325559239835e-05
5600,8,1.668068534854683e-06
5800,8,2.4225182623793806e-11
6000,8,2.1101874219271408e-21
6300,8,3.274254112284325e-08
6500,8,4.813194908728861e-17
6700,8,6.088776322600535e-22
7000,8,3.2298224095228525e-09
7200,8,5.505970245706093e-12
7400,8,0.0
7700,8,3.259271284418702e-23
7900,8,3.9861999155052914e-19
8100,8,1.605078847610741e-09
8400,8,0.00390625
8600,8,2.859942642950697e-13
8800,8,8.28842067679067e-14
9100,8,2.4496569331020048e-20
9300,8,0.0
