step,point,distance (sum)
0,0,0.0009813089
200,0,0.0039062518626451
500,0,5.0748177216064505e-08
700,0,0.0039062569849193
900,0,0.003906256519258
1200,0,0.00390625
1400,0,0.0039062488358466998
1600,0,0.0039062611758708
1900,0,0.0039062513969838
2100,0,0.0008389872382394
2300,0,0.00390625
2600,0,0.0039062495343387
2800,0,0.0039062625728547
3000,0,0.0039062546566128
3300,0,1.3331787063197706e-10
3500,0,0.0039062488358466998
3700,0,0.0039062474388629
4000,0,1.548233922221698e-05
4200,0,0.0039062541909515
4400,0,0.0039062523283064
4600,0,0.0039062513969838
4900,0,0.0039062495343387
5100,0,0.0039062446448951
5300,0,0.0009208028204739
5600,0,0.0039062537252902
5800,0,0.0039062474388629
6000,0,1.1693702361981198e-07
6300,0,0.0039062513969838
6500,0,0.0039062497671693
6700,0,0.0039062523283064
7000,0,0.0039062504656612
7200,0,1.2982904081582092e-05
7400,0,0.0039062546566128
7700,0,0.00390625
7900,0,0.0039062472060322
8100,0,0.0039062509313225
8400,0,0.0039062476716935
8600,0,0.00390625
8800,0,0.0039062486030161
9100,0,0.0039062546566128
9300,0,0.0039062497671693
