step,point,distance (sum)
0,7,0.0008570893
200,7,0.0002202101313741
500,7,0.0039062462747097002
700,7,0.0039062504656612
900,7,2.8258929887670086e-05
1200,7,0.0039062483701854
1400,7,3.548615859472193e-05
1600,7,0.0039062551222741
1900,7,0.0039062479045242
2100,7,0.0039062476716935
2300,7,0.0010983138345181
2600,7,0.0039062504656612
2800,7,0.0039062446448951
3000,7,0.0039062513969838
3300,7,0.0039062453433871
3500,7,0.003906246041879
3700,7,8.341279666979062e-09
4000,7,2.038662569248117e-05
4200,7,0.0039062474388629
4400,7,0.0039062509313225
4600,7,0.0039062451105564
4900,7,0.0039062551222741
5100,7,0.0039062509313225
5300,7,0.0039062509313225
5600,7,0.0039062441792339004
5800,7,0.0039062509313225
6000,7,6.607475597775192e-07
6300,7,8.50304413489723e-17
6500,7,0.0039062518626451
6700,7,1.7289087271428043e-16
7000,7,9.219990104725184e-09
7200,7,0.0039062472060322
7400,7,3.531314689553256e-07
7700,7,1.6843144934330923e-10
7900,7,0.0018690271535887998
8100,7,0.0039062569849193
8400,7,1.368971689480469e-11
8600,7,0.0039062481373548
8800,7,0.0039062504656612
9100,7,7.142940170433849e-17
9300,7,0.0039062518626451
