step,point,distance (sum)
0,1,0.00093582674
200,1,0.0028761907014995
500,1,0.0039062441792339004
700,1,0.0039062518626451
900,1,0.0039062509313225
1200,1,7.08421210582344e-10
1400,1,0.0039062513969838
1600,1,7.736847607020536e-09
1900,1,1.0717453313713317e-10
2100,1,2.936423326715953e-10
2300,1,4.572755540751215e-16
2600,1,0.0
2800,1,7.599173870675125e-20
3000,1,6.324354928644024e-10
3300,1,1.5096046179092758e-23
3500,1,0.0
3700,1,0.00390625
4000,1,2.1220818071515657e-14
4200,1,2.1221651103076056e-09
4400,1,3.6418353684293535e-13
4600,1,0.0039062479045242
4900,1,1.9725629549910417e-12
5100,1,7.292323695105006e-17
5300,1,7.7861076216293235e-22
5600,1,0.0
5800,1,2.1786078718832869e-07
6000,1,0.0
6300,1,0.0
6500,1,0.0
6700,1,0.0
7000,1,0.0
7200,1,0.0
7400,1,0.0
7700,1,0.0
7900,1,0.0
8100,1,0.0
8400,1,0.0
8600,1,1.4976487364037894e-05
8800,1,0.0039062497671693
9100,1,8.312446880154312e-05
9300,1,0.0039062518626451
