step,point,distance (sum)
0,5,0.0009202859399999999
200,5,0.0039062437135725997
500,5,0.003906256519258
700,5,0.0039062513969838
900,5,0.003906253259629
1200,5,0.0039062513969838
1400,5,0.0039062537252902
1600,5,0.0039062472060322
1900,5,0.00390625
2100,5,0.0039062513969838
2300,5,1.5605269965135452e-08
2600,5,0.003906246041879
2800,5,1.7873547975000292e-08
3000,5,0.0039062504656612
3300,5,0.0039062504656612
3500,5,0.0039062486030161
3700,5,0.0007022352656349
4000,5,0.0039062504656612
4200,5,1.1555334427759256e-14
4400,5,3.821949146054492e-10
4600,5,1.2905479636338146e-11
4900,5,0.0039062527939677
5100,5,2.4396972548856866e-06
5300,5,2.4608739934706136e-08
5600,5,0.0039062497671693
5800,5,0.0039062458090483995
6000,5,1.6921547285164706e-05
6300,5,0.0039062509313225
6500,5,0.0011524597648531
6700,5,2.4109903592123426e-21
7000,5,3.5559613587032857e-10
7200,5,8.59442350620298e-10
7400,5,1.73925313712818e-13
7700,5,0.0039062513969838
7900,5,1.6575565572884976e-11
8100,5,0.0039062560535967
8400,5,0.0039062509313225
8600,5,0.0039062493015080005
8800,5,4.967888431454363e-21
9100,5,4.660728978223087e-17
9300,5,0.0039062504656612
