step,point,distance (sum)
0,6,0.0008034645999999999
200,6,0.0039062455762177
500,6,0.0005335187888704
700,6,2.582810076923181e-10
900,6,6.099224947320181e-08
1200,6,0.0022891177795827
1400,6,0.0039062462747097002
1600,6,0.0039062579162418
1900,6,3.9207543878205805e-09
2100,6,6.908723159532171e-12
2300,6,0.0029219235293567
2600,6,2.802401468215976e-06
2800,6,4.59169757337924e-13
3000,6,0.0039062537252902
3300,6,0.0039062388241291
3500,6,0.003906256519258
3700,6,0.0039062579162418
4000,6,0.0039062409196047995
4200,6,0.0039062527939677
4400,6,3.522257596699773e-09
4600,6,3.4064850871600715e-15
4900,6,0.0039062560535967
5100,6,5.81142921873834e-06
5300,6,0.0039062555879354
5600,6,0.0039062486030161
5800,6,0.001449566334486
6000,6,0.0039062513969838
6300,6,0.0039062488358466998
6500,6,0.0039062513969838
6700,6,0.0039062465075403
7000,6,0.0039062411524355004
7200,6,0.0039062537252902
7400,6,0.0015784698771312
7700,6,1.459911686652049e-06
7900,6,0.0
8100,6,5.833855465381821e-18
8400,6,0.0002523991279304
8600,6,2.2252347534057467e-11
8800,6,0.0039062486030161
9100,6,0.0039062493015080005
9300,6,1.447284369985365e-14
