step,point,distance (sum)
0,4,0.0007883659
200,4,0.0039062518626451
500,4,0.0020710388198494
700,4,1.9918979887734167e-06
900,4,8.217088121043048e-11
1200,4,0.0039062523283064
1400,4,0.0039062469732016
1600,4,0.0001591738400747
1900,4,3.0367961617594474e-11
2100,4,0.0039062513969838
2300,4,1.326560686720768e-05
2600,4,0.0039062509313225
2800,4,0.0020777443423867
3000,4,4.090011771040736e-06
3300,4,0.0039062527939677
3500,4,0.00390625
3700,4,0.0039062493015080005
4000,4,0.0014536663657054
4200,4,6.318071399391556e-08
4400,4,0.0001621643605176
4600,4,0.0039062518626451
4900,4,0.0039062479045242
5100,4,0.0039062481373548
5300,4,2.07699690690788e-06
5600,4,0.0039062493015080005
5800,4,8.053650971460054e-21
6000,4,0.0039062523283064
6300,4,0.0039062451105564
6500,4,0.0039062462747097002
6700,4,0.0039062495343387
7000,4,1.1284895018909325e-15
7200,4,2.4452768698779437e-09
7400,4,0.0039062504656612
7700,4,0.0039062448777258
7900,4,0.0039062555879354
8100,4,0.0039062509313225
8400,4,0.0039062495343387
8600,4,0.0039062476716935
8800,4,0.0039062462747097002
9100,4,0.0039062518626451
9300,4,3.047928576194181e-11
