point,step,Privacy cost
8,0,2.2381303941415576e-05
8,200,0.000128676041447
8,500,5.827213711562251e-11
8,700,7.163020177003432e-12
8,900,4.743773398471762e-05
8,1200,6.969425037084419e-12
8,1400,6.969425037084419e-12
8,1600,6.969425037084419e-12
8,1900,6.6601341504324285e-06
8,2100,7.743805596760467e-12
8,2300,0.0008324905645402
8,2600,0.0008324903661052
8,2800,6.969425037084419e-12
8,3000,6.969425037084419e-12
8,3300,9.186089389157103e-10
8,3500,0.0008324895721716
8,3700,0.000832490862096
8,4000,9.098971576193549e-12
8,4200,2.5359220973131258e-08
8,4400,5.1302712078538087e-11
8,4600,9.098971576193549e-12
8,4900,0.0010406122907931
8,5100,9.098971576193549e-12
8,5300,2.859090464379932e-08
8,5600,1.98628613556906e-10
8,5800,9.098971576193549e-12
8,6000,9.098971576193549e-12
8,6300,9.098971576193549e-12
8,6500,9.098971576193549e-12
8,6700,9.098971576193549e-12
8,7000,9.098971576193549e-12
8,7200,7.163020177003432e-12
8,7400,7.163020177003432e-12
8,7700,7.163020177003432e-12
8,7900,7.163020177003432e-12
8,8100,7.163020177003432e-12
8,8400,0.001271862740907
8,8600,7.163020177003432e-12
8,8800,7.163020177003432e-12
8,9100,7.163020177003432e-12
8,9300,7.163020177003432e-12
