point,step,Privacy cost
7,0,3.117149146303344e-05
7,200,2.645605746975921e-06
7,500,0.0008324900683559
7,700,0.0008324918546583
7,900,4.3574200497831235e-08
7,1200,0.0008324909616039
7,1400,6.870885110865643e-08
7,1600,0.0008324938395892
7,1900,0.0008324907629753
7,2100,0.000832490663661
7,2300,6.581170235650524e-05
7,2600,0.0008324918546583
7,2800,0.0008324893735429
7,3000,0.0008324922515283
7,3300,0.0008324896712923
7,3500,0.0008324899692352
7,3700,6.969425037084419e-12
7,4000,2.8352395431419097e-08
7,4200,0.0010406134072563
7,4400,0.0010406152680927
7,4600,0.0010406121666986
7,4900,0.0010406175010191
7,5100,0.0010406152680927
7,5300,0.0010406152680927
7,5600,0.0010406116703207
7,5800,0.0010406152680927
7,6000,3.8719027983802334e-11
7,6300,9.098971576193549e-12
7,6500,0.0010406157642771
7,6700,9.098971576193549e-12
7,7000,9.098971576193549e-12
7,7200,0.0012718609214999
7,7400,1.742356259271105e-11
7,7700,7.163020177003432e-12
7,7900,0.0002911677023924
7,8100,0.0012718672896185
7,8400,7.163020177003432e-12
7,8600,0.0012718615280335
7,8800,0.001271863044077
7,9100,7.163020177003432e-12
7,9300,0.0012718639539742
