point,step,Privacy cost
9,0,3.578399537310095e-05
9,200,0.0008324916562232
9,500,1.2002898674978724e-11
9,700,0.0008324899692352
9,900,4.1517261041568165e-05
9,1200,0.0008324895721716
9,1400,6.255128858628778e-06
9,1600,0.0008324875874342
9,1900,6.969425037084419e-12
9,2100,2.127716697206128e-05
9,2300,2.5903029721163757e-10
9,2600,6.969425037084419e-12
9,2800,0.0008324918546583
9,3000,6.969425037084419e-12
9,3300,6.969425037084419e-12
9,3500,7.163020177003432e-12
9,3700,6.969425037084419e-12
9,4000,9.098971576193549e-12
9,4200,0.0010406146480075
9,4400,9.098971576193549e-12
9,4600,9.098971576193549e-12
9,4900,9.29256671611256e-12
9,5100,0.0010406134072563
9,5300,0.0010406136554452
9,5600,0.0010406160122725
9,5800,8.963454978250239e-11
9,6000,1.1932430044048203e-08
9,6300,9.098971576193549e-12
9,6500,9.29256671611256e-12
9,6700,0.0010406152680927
9,7000,5.050897200487015e-08
9,7200,7.163020177003432e-12
9,7400,7.163020177003432e-12
9,7700,0.0012718642571442
9,7900,0.0012718621343735
9,8100,0.0012718625893221
9,8400,7.163020177003432e-12
9,8600,7.163020177003432e-12
9,8800,8.355671554660661e-06
9,9100,0.001271863044077
9,9300,1.026054241570762e-11
