point,step,Privacy cost
6,0,2.739295456716251e-05
6,200,0.0008324897706066
6,500,1.5529203173381134e-05
6,700,6.969425037084419e-12
6,900,7.163020177003432e-12
6,1200,0.000285883589645
6,1400,0.0008324900683559
6,1600,0.0008324950303929
6,1900,6.969425037084419e-12
6,2100,6.969425037084419e-12
6,2300,0.0004657929389258
6,2600,4.355890648177762e-10
6,2800,6.969425037084419e-12
6,3000,0.0008324932440906
6,3300,0.0008324868926212
6,3500,0.0008324944350879
6,3700,0.0008324950303929
6,4000,0.0010406099335787
6,4200,0.0010406162604614
6,4400,9.098971576193549e-12
6,4600,9.098971576193549e-12
6,4900,0.001040617997397
6,5100,2.3121067560527564e-09
6,5300,0.0010406177492081
6,5600,0.0010406140275351
6,5800,0.0001432969757915
6,6000,0.0010406155162817
6,6300,0.0010406141516296
6,6500,0.0010406155162817
6,6700,0.0010406129110719
6,7000,0.0010406100576731
6,7200,0.0012718651670413
6,7400,0.0002076748380076
6,7700,1.8488335862265612e-10
6,7900,7.163020177003432e-12
6,8100,7.163020177003432e-12
6,8400,5.309894005739446e-06
6,8600,7.163020177003432e-12
6,8800,0.0012718618312035
6,9100,0.0012718622861521
6,9300,7.163020177003432e-12
