point,step,Privacy cost
1,0,3.7161772684091154e-05
1,200,0.0004513260313913
1,500,0.0008324891751079
1,700,0.0008324924501569
1,900,0.0008324920532869
1,1200,6.969425037084419e-12
1,1400,0.0008324922515283
1,1600,6.969425037084419e-12
1,1900,6.969425037084419e-12
1,2100,6.969425037084419e-12
1,2300,6.969425037084419e-12
1,2600,6.969425037084419e-12
1,2800,6.969425037084419e-12
1,3000,6.969425037084419e-12
1,3300,6.969425037084419e-12
1,3500,6.969425037084419e-12
1,3700,0.0008324916562232
1,4000,9.098971576193549e-12
1,4200,9.098971576193549e-12
1,4400,9.098971576193549e-12
1,4600,0.0010406136554452
1,4900,9.098971576193549e-12
1,5100,9.098971576193549e-12
1,5300,9.098971576193549e-12
1,5600,9.098971576193549e-12
1,5800,1.2196493814897735e-11
1,6000,9.098971576193549e-12
1,6300,9.098971576193549e-12
1,6500,9.098971576193549e-12
1,6700,9.098971576193549e-12
1,7000,9.098971576193549e-12
1,7200,7.163020177003432e-12
1,7400,7.163020177003432e-12
1,7700,7.163020177003432e-12
1,7900,7.163020177003432e-12
1,8100,7.163020177003432e-12
1,8400,7.163020177003432e-12
1,8600,1.8702258491876126e-08
1,8800,0.0012718625893221
1,9100,5.759337319555248e-07
1,9300,0.0012718639539742
